"GeneID" "Annotation"
"ostta04g02650" " Aminoacyl-tRNA synthetase, class 1a, anticodon-binding"
"ostta04g02740" " P-loop containing nucleoside triphosphate hydrolase"
"ostta04g02930" " SAND domain-like"
"ostta04g03020" " unnamed product"
"ostta04g03190" " Protein translocase subunit SecA"
"ostta04g03560" " RNA polymerase sigma-70"
"ostta04g03870" " Triose-phosphate transporter domain"
"ostta04g04000" " Pyruvate phosphate dikinase, PEP/pyruvate-binding"
"ostta04g04060" " Zinc finger, U1-type"
"ostta04g04210" " unnamed product"
"ostta04g04250" " unnamed product"
"ostta04g04310" " Ribosome biogenesis protein Nop16"
"ostta04g04350" " P-loop containing nucleoside triphosphate hydrolase"
"ostta04g04410" " SET domain"
"ostta04g04460" " unnamed product"
"ostta04g04470" " tRNA guanine-N-7 methyltransferase"
"ostta04g04590" " Peptidase M12B, ADAM/reprolysin"
"ostta04g04600" " Peptidase M12B, ADAM/reprolysin"
"ostta04g04760" " P-loop containing nucleoside triphosphate hydrolase"
"ostta04g04840" " unnamed product"
"ostta04g05380" " AMP-dependent synthetase/ligase"
"ostta04g05470" " SNF2-related"
"ostta04g05550" " unnamed product"
"ostta05g00300" " Vesicle transport protein, Got1/SFT2-like"
"ostta05g00360" " Methyltransferase type 11"
"ostta05g00850" " Multi antimicrobial extrusion protein"
"ostta05g00940" " Thioredoxin, conserved site"
"ostta05g01230" " Porphobilinogen deaminase, C-terminal"
"ostta05g01660" " Nucleotide-binding, alpha-beta plait"
"ostta05g01730" " unnamed product"
"ostta05g02270" " WD40/YVTN repeat-like-containing domain"
"ostta05g02380" " RWP-RK domain"
"ostta05g02418" " Sugar nucleotide epimerase YfcH,-like putative n/a  Sugar nucleotide epimerase tive n/a  Sugar nucleotide epimerase YfcH,-like putative n/a  Sugar nucleotide epimerase YfcH,-like putative"
"ostta05g02470" " Tetratricopeptide repeat"
"ostta05g02550" " Myristoyl-CoA:protein N-myristoyltransferase, C-terminal"
"ostta05g02740" " Threonine dehydratase, catabolic"
"ostta05g02880" " Protein Iojap/ribosomal silencing factor RsfS"
"ostta05g02920" " Sad1/UNC-like, C-terminal"
"ostta05g03020" " Glycoside hydrolase, superfamily"
"ostta05g03090" " SET domain"
"ostta05g03250" " JmjC domain"
"ostta05g03270" " Metalloenzyme, LuxS/M16 peptidase-like"
"ostta05g03550" " Radical SAM"
"ostta05g03560" " Zinc finger, RanBP2-type"
"ostta05g03750" " Translation elongation/initiation factor/Ribosomal, beta-barrel"
"ostta05g03830" " Chlorophyll A-B binding protein, plant"
"ostta05g04300" " unnamed product"
"ostta05g04500" " Target SNARE coiled-coil domain"
"ostta05g04530" " Uncharacterised protein family Ycf54"
"ostta06g00460" " Valyl/Leucyl/Isoleucyl-tRNA synthetase, class I, anticodon-binding"
"ostta06g00760" " Methyltransferase small domain"
"ostta06g00920" " unnamed product"
"ostta06g01320" " MT-A70-like"
"ostta06g01440" " T-complex protein 10 family"
"ostta06g01460" " Ribosomal RNA methyltransferase FtsJ domain"
"ostta06g01570" " DnaJ domain"
"ostta06g01650" " Ribulose-phosphate binding barrel"
"ostta06g02120" " Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site"
"ostta06g02430" " Exocyst complex component Sec6"
"ostta06g02605" " Protein of unknown function DUF3529"
"ostta06g02750" " Nucleotide-binding, alpha-beta plait"
"ostta06g02800" " Helicase, C-terminal"
"ostta06g02850" " Thioredoxin-like fold"
"ostta06g03010" " Helicase, C-terminal"
"ostta06g03140" " Importin-beta, N-terminal domain"
"ostta06g03325" " DNA topoisomerase, type IA, central region, subdomain 2"
"ostta06g03390" " Photosystem I Ycf4, assembly"
"ostta06g03430" " E2F-associated phosphoprotein"
"ostta06g03510" " Radical SAM"
"ostta06g03980" " Putative E3 ubiquitin-protein ligase, makorin-related"
"ostta06g04490" " Programmed cell death protein 2, C-terminal"
"ostta06g04520" " Tetratricopeptide repeat"
"ostta07g00380" " Cytochrome P450, E-class, group I"
"ostta07g00510" " unnamed product"
"ostta07g00640" " Cytochrome b6/f complex, subunit IV"
"ostta07g00710" " unnamed product"
"ostta07g00740" " P-loop containing nucleoside triphosphate hydrolase"
"ostta07g01205" " Enamine/imine deaminase YjgF-like"
"ostta07g01290" " unnamed product"
"ostta07g01350" " ATPase, F1 complex, OSCP/delta subunit"
"ostta07g01610" " Cell division protein FtsZ, C-terminal"
"ostta07g01660" " SNARE associated Golgi protein"
"ostta07g01790" " Helicase, C-terminal"
"ostta07g02450" " Pheophorbide a oxygenase"
"ostta07g02530" " Chlorophyll A-B binding protein, plant"
"ostta07g02570" " Structural maintenance of chromosomes protein 6"
"ostta07g02590" " Magnesium-protoporphyrin IX methyltransferase"
"ostta07g03040" " Zinc finger, CW-type"
"ostta07g03635" " Deoxyhypusine synthase"
"ostta07g03920" " Ribonuclease III domain"
"ostta07g04140" " ATPase, V1 complex, subunit C"
"ostta07g04310" " Nucleotide-binding, alpha-beta plait"
"ostta07g04430" " unnamed product"
"ostta07g04500" " UbiE/COQ5 methyltransferase"
"ostta07g04510" " Phosphatidate cytidylyltransferase"
"ostta07g04530" " Translation elongation/initiation factor/Ribosomal, beta-barrel"
"ostta07g04630" " unnamed product"
"ostta08g00330" " Serine/threonine-specific protein phosphatase/bis5-nucleosyl-tetraphosphatase"
"ostta08g00460" " Serine/threonine- / dual specificity protein kinase, catalytic  domain n/a  Ser/ dual specificity protein kinase, catalytic  domain n/a  Serine/threonine- / dual specificity protein kinase, catalytic  domain"
"ostta08g00820" " Serine/threonine- / dual specificity protein kinase, catalytic  domain"
"ostta08g00840" " Acyl-CoA dehydrogenase/oxidase C-terminal"
"ostta08g00970" " unnamed product"
"ostta08g01100" " UbiA prenyltransferase family"
"ostta08g01210" " Restriction endonuclease  type II-like"
"ostta08g01330" " High mobility group box domain"
"ostta08g01400" " G-protein beta WD-40 repeat"
"ostta08g01410" " unnamed product"
"ostta08g01420" " RNA C5-cytosine methyltransferase"
"ostta08g01530" " tRNA/rRNA methyltransferase, SpoU"
"ostta08g01880" " Zinc finger, CCCH-type"
"ostta08g01900" " P-loop containing nucleoside triphosphate hydrolase"
"ostta08g02350" " unnamed product"
"ostta08g02360" " HAD-superfamily hydrolase, subfamily IIA"
"ostta08g02480" " Glutathione S-transferase, N-terminal"
"ostta08g03540" " unnamed product"
"ostta08g04240" " Signal transduction histidine kinase, phosphotransfer Hpt domain"
"ostta09g00760" " Pentatricopeptide repeat"
"ostta09g00860" " G10 protein"
"ostta09g01220" " unnamed product"
"ostta09g01440" " Protein of unknown function DUF1092"
"ostta09g01760" " Restriction endonuclease  type II-like"
"ostta09g01800" " Zinc finger, DHHC-type, palmitoyltransferase"
"ostta09g02030" " unnamed product"
"ostta09g02790" "' 3''-5'' exonuclease domain'"
"ostta09g03050" " Helicase, C-terminal"
"ostta09g03210" " Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase"
"ostta09g03220" " Kua-ubiquitin conjugating enzyme hybrid, localisation"
"ostta09g03350" " TatD family"
"ostta09g04020" " Bud13"
"ostta09g04150" " P-loop containing nucleoside triphosphate hydrolase"
"ostta09g04160" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta09g04420" " Chlorophyll A-B binding protein, plant"
"ostta09g04440" " Ankyrin repeat"
"ostta10g00100" " Aminoacyl-tRNA synthetase, class 1a, anticodon-binding"
"ostta10g00200" " Thioredoxin-like fold"
"ostta10g00250" " Translation initiation factor 3"
"ostta10g00310" " DNA primase, UL52/UL70 type, Herpesviridae"
"ostta10g00360" " Endonuclease/exonuclease/phosphatase"
"ostta10g00370" " Mycolic acid cyclopropane synthase"
"ostta10g00565" " Nucleotide-binding, alpha-beta plait"
"ostta10g01220" " unnamed product"
"ostta10g01470" " Fructose-bisphosphate aldolase, class II, yeast/E. coli subtype"
"ostta10g01550" " ABC-2 type transporter"
"ostta10g01890" " CBS domain"
"ostta10g01980" " Fatty acid hydroxylase"
"ostta10g02410" " P-loop containing nucleoside triphosphate hydrolase"
"ostta10g02440" " Zinc finger, RING/FYVE/PHD-type"
"ostta10g02720" " Fibronectin-binding A, N-terminal"
"ostta10g02730" " unnamed product"
"ostta10g02850" " Nucleoside diphosphate kinase"
"ostta10g03365" " Thioredoxin, conserved site"
"ostta10g03480" " Oxoglutarate/iron-dependent dioxygenase"
"ostta11g00570" " Tetratricopeptide repeat"
"ostta11g00690" " Tetrapyrrole biosynthesis, glutamyl-tRNA reductase, N-terminal"
"ostta11g00830" " Nuclear protein 96"
"ostta11g00840" " RmlC-like jelly roll fold"
"ostta11g01030" " CO dehydrogenase flavoprotein-like, FAD-binding, subdomain 2"
"ostta11g01060" " DNA-directed RNA polymerase delta subunit/Asxl"
"ostta11g01180" " MT-A70-like"
"ostta11g01190" " unnamed product"
"ostta11g01240" " Protein of unknown function DUF926"
"ostta11g01500" " Alternative oxidase"
"ostta11g01680" " unnamed product"
"ostta11g01900" " unnamed product"
"ostta11g01980" " P-loop containing nucleoside triphosphate hydrolase"
"ostta11g02290" " NEFA-interacting nuclear protein NIP30, N-terminal"
"ostta12g00400" " Serine/threonine-protein kinase, active site"
"ostta12g00420" " Photosystem II PsbM"
"ostta12g00645" " hypothetical protein"
"ostta12g00790" " Haem oxygenase-like, multi-helical"
"ostta12g01380" " Radical SAM"
"ostta12g01390" " Pheophorbide a oxygenase"
"ostta12g01480" " hypothetical protein n/a  unnamed product"
"ostta12g01680" " F-box domain"
"ostta12g01700" " Oxoglutarate/iron-dependent dioxygenase"
"ostta12g02170" " Domain of unknown function DUF2431"
"ostta12g02630" " Drug/metabolite transporter"
"ostta12g02980" " Glucosidase II beta subunit-like"
"ostta12g03140" " Heat shock protein DnaJ, cysteine-rich domain"
"ostta12g03170" " Methyltransferase type 11"
"ostta13g00380" " unnamed product"
"ostta13g00980" " unnamed product"
"ostta13g00990" " Cation/H+ exchanger"
"ostta13g01400" " SNARE associated Golgi protein"
"ostta13g01910" " Protein of unknown function DUF2854"
"ostta13g02110" " unnamed product"
"ostta13g02420" " Mitochondrial substrate/solute carrier"
"ostta13g02540" " unnamed product"
"ostta13g02680" " Nicotinamide N-methyltransferase-like"
"ostta13g02760" " Zinc-finger domain of monoamine-oxidase A repressor R1"
"ostta13g03000" " Anticodon-binding domain"
"ostta14g00050" " Lipase, class 3 n/a  Lipase, class 3"
"ostta14g00065" " Chlorophyll A-B binding protein, plant n/a  Chlorophyll A-B binding protein, pl"
"ostta14g00075" "  n/a  hypothetical protein"
"ostta14g00560" " unnamed product"
"ostta14g00640" " CRAL-TRIO domain"
"ostta14g01220" " Ribosomal protein S30Ae/sigma 54 modulation protein"
"ostta14g01340" " Zinc finger, RING/FYVE/PHD-type n/a  Zinc finger, RING/FYVE/PHD-type"
"ostta14g01385" " Oxoglutarate/iron-dependent dioxygenase n/a  Oxoglutarate/iron-dependent dioxyg"
"ostta14g01470" " unnamed product"
"ostta14g01500" " Ankyrin repeat"
"ostta14g01890" " Malate/L-lactate dehydrogenase"
"ostta14g02775" " P-loop containing nucleoside triphosphate hydrolase n/a  P-loop containing nuclhate hydrolase"
"ostta14g02900" " Histidine phosphatase superfamily, clade-1"
"ostta14g03080" " Tetratricopeptide-like helical"
"ostta15g00900" " NADP-binding domain n/a  NADP-binding domain"
"ostta15g01210" " Tetrahydrofolate dehydrogenase/cyclohydrolase, conserved site n/a  Tetrahydrofoase/cyclohydrolase, conserved site"
"ostta15g01230" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta15g01250" " Natural resistance-associated macrophage like"
"ostta15g01610" " Ribosomal biogenesis regulatory protein"
"ostta15g01820" " Peptidase M18"
"ostta15g01850" " NADP-binding domain"
"ostta15g01890" " Thiolase-like, subgroup"
"ostta15g02410" " Tubulin binding cofactor C"
"ostta15g02670" " Photosystem I PsaD"
"ostta16g00420" " Ferredoxin thioredoxin reductase beta subunit, domain n/a  Ferredoxin thioredoxta subunit, domain"
"ostta16g00450" " Chlorophyll A-B binding protein, plant"
"ostta16g00990" " NMD3"
"ostta16g01110" " Protein of unknown function DUF3067"
"ostta16g01180" " U2 auxiliary factor small subunit"
"ostta16g01450" " Ribose-phosphate diphosphokinase"
"ostta16g01690" " 6-phosphogluconolactonase, DevB-type"
"ostta16g01910" " 4-diphosphocytidyl-2C-methyl-D-erythritol kinase"
"ostta16g01980" " Zinc finger, GATA-type"
"ostta16g02060" " snRNA-activating protein complex, subunit 3"
"ostta16g02310" " Chlorophyll A-B binding protein, plant"
"ostta16g02345" " Triose-phosphate transporter domain n/a  Triose-phosphate transporter domain"
"ostta16g02590" " NADH:ubiquinone oxidoreductase intermediate-associated protein 30"
"ostta16g02620" " Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB"
"ostta17g00100" " GUN4-like"
"ostta17g00620" " SET domain"
"ostta17g01170" " Forkhead-associated FHA domain"
"ostta17g01310" " Ovarian tumour, otubain"
"ostta17g01360" " ATPase-like, ParA/MinD n/a  ATPase-like, ParA/MinD"
"ostta17g01400" " Polyprenyl synthetase"
"ostta17g01550" " DNA methylase, N-6 adenine-specific, conserved site n/a  DNA methylase, N-6 adeconserved site"
"ostta17g01910" " Peptidase M28"
"ostta17g02080" " Patatin/Phospholipase A2-related n/a  Patatin/Phospholipase A2-related"
"ostta17g02120" " Beta-lactamase-like"
"ostta17g02130" " Aldo/keto reductase, conserved site n/a  Aldo/keto reductase, conserved site"
"ostta17g02150" " Mitochondrial substrate/solute carrier n/a  Mitochondrial substrate/solute carr"
"ostta17g02310" " M-phase phosphoprotein 6"
"ostta18g00140" " CWC16 protein n/a  CWC16 protein"
"ostta18g00275" "  n/a  hypothetical protein"
"ostta18g00385" " Nucleotide-diphospho-sugar transferase n/a  Nucleotide-diphospho-sugar transfer"
"ostta18g00500" " Protein of unknown function DUF448 n/a  Protein of unknown function DUF448"
"ostta18g00940" " Formate-tetrahydrofolate ligase, FTHFS"
"ostta18g01000" " unnamed product"
"ostta18g01090" " Pyridoxal phosphate-dependent transferase, major region, subdomain 2"
"ostta18g01160" " Poly A polymerase, head domain"
"ostta18g01170" " unnamed product"
"ostta18g01230" " Chlorophyll A-B binding protein, plant n/a  Chlorophyll A-B binding protein, pl"
"ostta18g01520" " Methyltransferase type 11"
"ostta18g01550" " NmrA-like"
"ostta18g01650" " unnamed product"
"ostta18g01680" " Ribosomal biogenesis, methyltransferase, EMG1/NEP1"
"ostta20g00740" " EGF-like, conserved site"
"ostta20g00860" " P-loop containing nucleoside triphosphate hydrolase"
"ostta20g00910" " CRAL-TRIO domain"
"ostta01g05170" " Transcription factor IIS, N-terminal"
"ostta09g00130" " P-loop containing nucleoside triphosphate hydrolase"
"ostta11g00950" " unnamed product"
"ostta12g01970" " Photosystem II Pbs27"
